id,PDF,Link,title,author,issued,type,title-short,container-title,editor,publisher,publisher-place,page,chapter,volume,number,issue,doi
schwarzschild1994,schwarzchild - plurals presuppositions and source of distributivity.compressed.pdf (https://dl.airtable.com/JKisMU4rQK6U3WA5UWPk_schwarzchild%20-%20plurals%20presuppositions%20and%20source%20of%20distributivity.compressed.pdf),,"Plurals, Presuppositions, and the Sources of Distributivity",schwarzschild-r,1994,article-journal,,Natural Language Semantics,,Kluwer Academic Publishers,,201-248,,2,,,
sep-generics,,https://plato.stanford.edu/entries/generics/,Generic generalizations,"leslie-s,lerner-a",2016 ,chapter,,The stanford encyclopedia of philosophy,zalta-e,"<https://plato.stanford.edu/archives/win2016/entries/generics/>; Metaphysics Research Lab, Stanford University",,,,,,,
spenader2009,spenader2009.pdf (https://dl.airtable.com/Q2t1Z1PnSUKcu06fnGvH_spenader2009.pdf),,Contrast as Denial in Multi-Dimensional Semantics,"spenader-j,maier-e",2009,article-journal,,Journal of Pragmatics,,,,1707-26,,41,,,
Stalnaker1978-STAA-2,,,Assertion,stalnaker-r,1978 ,article-journal,,Syntax and Semantics (New York Academic Press),,New York: New York Academic Press,,315-332,,9,,,
Stalnaker1984-STAI,,,Inquiry,stalnaker-r,1984 ,book,,,,Cambridge University Press,,,,,,,
stalnaker2014,,https://play.google.com/books/reader?printsec=frontcover&output=reader&id=N-YVBAAAQBAJ&pg=GBS.PA83.w.1.0.187,Context,stalnaker-r,2014 ,book,,,,Oxford University Press,,,,,,,
starr2016,dynamic_expressivism.pdf (https://dl.airtable.com/1TRAPnYDQZCKiHGb8CWc_dynamic_expressivism.pdf),,Dynamic expressivism about deontic modality,starr-w,2016 ,chapter,,Deontic modality,,Oxford University Press,,355-394,,,,,
sterken2015,sterken-generics-in-context.pdf (https://dl.airtable.com/fv2SkYBQoSQlg5FUlhnw_sterken-generics-in-context.pdf),,Generics in context,sterken-r,2015,article-journal,,Philosophers’ Imprint,,,,,,15,,21,
stone1999,stone hardt - dynamic drefs for tense and modals.pdf (https://dl.airtable.com/cHNdkNmLTtqkZWmMp35n_stone%20hardt%20-%20dynamic%20drefs%20for%20tense%20and%20modals.pdf),,Dynamic discourse referents for tense and modals,"stone-m,hardt-d",1999,chapter,,Computing meaning,"muskins-r,bunt-h",Kluwer,,302-321,,,,,
stone1999,stone1999.pdf (https://dl.airtable.com/09iEVzSHQSqxafkGrjZk_stone1999.pdf),,Reference to possible worlds,stone-m,1999 ,article-journal,,"Technical Report 49, Rutgers University Center for Cognitive Science",,,,,,,,,
